georgian,english
პომიდვრის ჭამა არ მიყვარს.,I don't like eating tomatoes.
მეფე ცხოვრობს ციხეში.,The king lives in the castle.
ის წერს სტატიას სკოლის გაზეთისთვის.,She's writing an article for the school newspaper.
ამ ქუჩაზე ორი ეკლესიაა.,There are two churches on this street.
"სამართალი საგანია, რომელიც არ მომწონს.",Law is a subject I don't like.
ჯიბეში რაღაც ფული მაქვს.,I've got some money in my pocket.
ჩემი საყვარელი საჭმელია ჩიპსები.,My favourite food is crisps.
მე არ მოგაცდენ.,I won't keep you waiting.
ამ გზაჯვარედინზე მოხდა ავარია.,An accident happened at this junction.
რომელ ბინაში ცხოვრობს?,Which flat does he live in?
ჩვენ დავრჩით დორჩესტერში.,We stayed in Dorchester.
დაე ტომმა ატაროს რაც უნდა.,Let Tom wear what he wants.
გინდათ პინტა?,Would you like a pint?
გინდა პინტა?,Would you like a pint?
ტომმა უნდოდა იმუშაოს გუშინ.,Tom had to work yesterday.
მილის აქვს ლურჯი თვალები.,Millie's got blue eyes.
რატომ ძიუდო საუკეთესო არჩევანია თქვენი ბავშვისთვის?,Why is judo the best choice for your child?
რა ღირს ერთი კილო ბრინჯი?,How much does a kilo of rice cost?
ტომს დღეს აქვს შეხვედრა.,Tom has an appointment today.
ქათამი ჭამს პეპელას.,The chicken eats a butterfly.
წინდები მაცვია.,I wear socks.
წყალს მოვიტან.,I'll bring some water.
წესები არიან?,Are there any rules?
ტექნიკურად შესაძლებელია?,Is it technically possible?
ეს ვისი კაბაა?,Whose dress is this?
ვისი კაბაა ეს?,Whose dress is this?
გირჩევ გადახედო ეს დოკუმენტები.,I suggest examining these documents.
არ გიყვარს შენი ძაღლი?,Don't you love your dog?
არ გიყვართ თქვენი ძაღლი?,Don't you love your dog?
რომელი რესტორნების ქსელი მოგწონს?,Which restaurant chain do you like?
რომელი რესტორნების ქსელი მოგწონთ?,Which restaurant chain do you like?
ყველა გოგონას არ სძულს მამაკაცი.,Not all girls hate men.
მან ახალგაზრდა გოგონების ყურადღება მიიპყრო.,He sought the attention of young girls.
ქრისტიანად აღიზარდა.,She was raised a Christian.
გადატრიალებები ხშირია აფრიკის ქვეყნებში.,Coups are common in African countries.
სპილოებს დიდი ყურები აქვთ.,Elephants have big ears.
ის ლაგოსიდან მოვიდა.,He came from Lagos.
საიდუმლოს ვინახავ.,I'm keeping a secret.
"ერთმანეთს უყურებენ, მაგრამ არ საუბრობენ.",They look at each other but they don't talk.
ეს სატირალი ისტორიაა.,This is a story worth crying.
ჩემს ფანჯარასთან ბუ დავინახე.,I saw an owl at my window.
ის ბრისბენში ცხოვრობს.,She lives in Brisbane.
ბრისბენში ვცხოვრობ.,I live in Brisbane.
მცირე მიწისძვრები ყოველ დღე ხდება იმ ქვეყანაში.,Small earthquakes happen every day in that country.
ხმა მივეცი დარჩებას.,"I voted ""remain""."
რა იყო თურქეთის პირველი კერძო არხი?,What was the first private channel in Turkey?
უყურებ სიახლეებს?,Do you watch the news?
უყურებთ სიახლეებს?,Do you watch the news?
მან გადაწყვიტა ბელგიაში გადასვლა.,She decided to move to Belgium.
დონალდმა უზმოზე დაიძინა.,Donald slept on an empty stomach.
ინგლისური საერთაშორისო ენაა.,English is the international language.
ის ხშირად აცდენს სკოლას.,He often bunks off school.
ლატვიურად არ ვლაპარაკობ.,I do not speak Latvian.
არ ვლაპარაკობ ლატვიურად.,I do not speak Latvian.
ჩანგალი და დანა გაქვს?,Do you have a fork and a knife?
თავი კიდევ მტკივა.,I have a headache again.
ზოგიერთი მოსწავლე სკოლაში აგვიანებდა.,Some of the pupils were late for school.
ფაილი ვერ მოიძებნა.,File not found.
ევროკავშირის.,U.
საქართველოს.,Georgia.
საქართველოში.,Georgia.
საქართველო.,Georgia.
ქართული.,Georgian.
თბილისი.,Tbilisi.
China.,China.
თბილისში.,Tbilisi.
ევროპაში.,Europe.
თბილისის.,Tbilisi.
ინგლისური.,English.
აშშ.,US.
Microsoft.,Microsoft.
EA.,EA.
ევროპული.,European.
გერმანია.,Germany.
ლათინური.,Latin.
ინგლისურ.,English.
Facebook.,Facebook.
Google.,Google.
Apple.,Apple.
ქართულ.,Georgian.
იესო.,Jesus.
უნივერსიტეტის.,University.
გერმანული.,German.
რუსეთი.,Russia.
ჩინური.,Chinese.
ბათუმში.,Batumi.
რუსული.,Russian.
იტალია.,Italy.
საფრანგეთი.,France.
ჯი - ზე.,Escorthub.
ბათუმი.,Batumi.
აშშ.,USA.
Vinisus.,Vinisus.
საბჭოთა.,Soviet.
გერმანიაში.,Germany.
ესპანეთი.,Spain.
რუსეთში.,Russia.
უკრაინა.,Ukraine.
FSX.,FSX.
იტალიური.,Italian.
დიდი ბრიტანეთი.,UK.
Samsung.,Samsung.
ბიბლია.,Bible.
ფრანგული.,French.
ევროკავშირი.,EU.
Paris.,Paris.
Koh Rong.,Koh Rong.
საფრანგეთში.,France.
Android.,Android.
Gege24.,Gege24.
ამერიკული.,American.
Guangzhou.,Guangzhou.
იაპონია.,Japan.
ევროპულ.,European.
ისრაელის.,Israel.
რუსეთის.,Russia.
ლონდონში.,London.
ავსტრალია.,Australia.
ესპანეთის.,Spanish.
Honda.,Honda.
თურქეთი.,Turkey.
იაპონური.,Japanese.
Amazon.,Amazon.
შვედეთი.,Sweden.
Excel.,Excel.
ინდოეთი.,India.
ბრიუსელში.,Brussels.
Visa.,Visa.
დ Visa Electron.,Visa Electron.
Boeing.,Boeing.
ამერიკელი.,American.
თურქეთში.,Turkey.
პოლონეთი.,Poland.
სახლი.,House.
კანადაში.,Canada.
ბრიტანეთის.,British.
Huawei.,Huawei.
ში GAP - ში.,GAP.
შვეიცარიაში.,Switzerland.
ესპანეთში.,Spain.
ინდოეთში.,India.
ბელგია.,Belgium.
მოსკოვში.,Moscow.
მადრიდში.,Madrid.
NINGBO.,Ningbo.
თურქეთის.,Turkey.
GE.,GE.
ავსტრალიაში.,Australia.
საქართველოსა.,Georgia.
გაეროს ბავშვთა ფონდის.,UNICEF.
PayPal.,PayPal.
Shandong.,Shandong.
ბრაზილია.,Brazil.
FDA.,FDA.
Airbus.,Airbus.
დიდი ბრიტანეთის.,UK.
Intel.,Intel.
Twitter.,Twitter.
Windows.,Windows.
რუსული.,Russian.
საბერძნეთი.,Greece.
Windows 10.,Windows 10.
დანია.,Denmark.
YouTube.,YouTube.
Texas.,Texas.
ავსტრია.,Austria.
სომხეთი.,Armenia.
ქუთაისში.,Kutaisi.
ქრისტიანები.,Christians.
რუმინეთი.,Romania.
ირლანდია.,Ireland.
შვეიცარია.,Switzerland.
ქუთაისი.,Kutaisi.
დასაწყისი .,DE.
უკრაინის.,Ukrainian.
სამხრეთ კორეა.,South Korea.
აზიური.,Asian.
აზერბაიჯანი.,Azerbaijan.
CIA.,CIA.
ნიდერლანდები.,Netherlands.
კომისიის.,Commission.
Samuel Gibbs.,Samuel Gibbs.
პარლამენტის.,Parliament.
Koh Rong Samloem.,Koh Rong Samloem.
ისრაელი.,Israel.
ნორვეგია.,Norway.
ინდური.,Indian.
ქართულ.,Georgian.
იერუსალიმში.,Jerusalem.
ბერძნული.,Greek.
ბულგარეთი.,Bulgaria.
შვეიცარიის.,Swiss.
Holmbygden.,Holmbygden.
PornHub.,PornHub.
რომში.,Rome.
ბარსელონაში.,Barcelona.
საბერძნეთში.,Greece.
აზიაში.,Asia.
გაეროს.,UN.
ათენში.,Athens.
თურქული.,Turkish.
ტაივანი.,Taiwan.
Holm.,Holm.
სახელმწიფო.,State.
OEM.,OEM.
ქართული.,Georgian.
ცესკოს.,CEC.
იესომ.,Jesus.
კანადის.,Canadian.
მერი.,Mary.
USAID.,USAID.
Windows XP.,Windows XP.
ებრაელები.,Jews.
პოლონეთში.,Poland.
პეკინი.,Beijing.
ახალი ზელანდია.,New Zealand.
ფინეთი.,Finland.
ეგვიპტეში.,Egypt.
უნივერსიტეტი.,University.
დიდ ბრიტანეთში.,UK.
ევროკავშირის.,the European Union.
უნგრეთი.,Hungary.
სპარსეთის.,Persian.
კავკასიის.,Caucasus.
ინდოეთის.,India.
საბურთალოზე.,Saburtalo.
ვენეციის.,Venice.
_ Axis.,Sairme.
Cisco.,Cisco.
ქრისტიანული.,Christian.
კომპანია.,Company.
Shanghai.,Shanghai.
საფრანგეთის.,France.
დავით.,David.
Dubai.,Dubai.
სიახლეების არქივი.,News Archive.
ლატვია.,Latvia.
ყაზახეთი.,Kazakhstan.
FX Trading Robot.,the FX Trading Robot.
ტაილანდი.,Thailand.
ესტონეთი.,Estonia.
მალაიზია.,Malaysia.
სინგაპური.,Singapore.
კორეა.,Korea.
GMP.,GMP.
დ Embed Code.,the Embed Code.
სერგე ი ივანოვი.,Sergey Ivanov.
ამერიკის შეერთებულ შტატებში.,the United States.
ყაზახეთის.,Kazakhstan.
სლოვაკეთი.,Slovakia.
NOW Foods.,NOW Foods.
Embed Code.,the Embed Code.
Qingdao.,Qingdao.
Tatiana გარეშე.,Tatyana.
New York.,New York.
Webtalk.,Webtalk.
DC.,DC.
საიტზე Ferry TO.,Ferry TO.
შვედეთის.,Swedish.
ევროკავშირში.,EU.
ავსტრალიის.,Australian.
შავი ზღვის.,Black Sea.
SHENZHEN.,Shenzhen.
ინგლისში.,England.
ირანი.,Iran.
Tianjin.,Tianjin.
Hielscher Ultrasonics.,Hielscher Ultrasonics.
Yamaha.,Yamaha.
პავლე.,Paul.
კვიპროსი.,Cyprus.
ვიკიპედია.,Bitcoin.
Nokia.,Nokia.
ლიტვა.,Lithuania.
BMW.,BMW.
კახეთის.,Kakheti.
Instagram.,Instagram.
GSPSA.,GSPSA.
შვედეთში.,Sweden.
ბრიტანეთის.,Britain.
საბჭოს.,Council.
აფრიკის.,Africa.
ბენ.,Ben.
ბაკურიანში.,Bakuriani.
ჰოლანდია.,Holland.
Box Bonks.,Box Bonks.
ფრანგული.,French.
საბერძნეთის.,Greece.
კამბოჯის.,Cambodia.
Amsterdam.,Amsterdam.
„ქართული.,Georgian.
ჩინურ.,Chinese.
Hyundai.,Hyundai.
ესპანური.,Spanish.
ევროკავშირს.,EU.
შვედეთის.,Sweden.
პორტუგალია.,Portugal.
Sony.,Sony.
Excel.,Excel.
ამერიკაში.,America.
Oracle.,Oracle.
პოლონეთის.,Polish.
ჩეხეთის.,Czech.
CRRC.,CRRC.
მოსკოვი.,Moscow.
EMC.,EMC.
შოტლანდიაში.,Scotland.
ბერლინში.,Berlin.
Hielscher.,Hielscher.
გერმანელი.,German.
რუსულ.,Russian.
აზერბაიჯანის.,Azerbaijan.
ხორვატია.,Croatia.
სსრკ.,USSR.
ქრისტეს.,Christ.
Oregon.,Oregon.
ბათუმი > რესტორნები.,Batumi > Restaurants.
Clenbuterol.,Clenbuterol.
ჯონსონი.,Johnson.
იესოს.,Jesus.
MDF.,MDF.
საქართველომ.,Georgia.
ტაივანის.,Taiwan.
ბრიტანეთში.,Britain.
საახალწლო.,New Year.
საქართველოს მოსახლეობის კეთილდღეობის კვლევა 2015.,2015 Welfare Monitoring Survey.
Hielscher.,Hielscher.
რუსულ.,Russian.
BBC.,BBC.
საქართველ ო.,Georgia.
ჩრდილოეთ ამერიკაში.,North America.
Adobe.,Adobe.
დედამიწის.,Earth.
პეტერბურგში.,St Petersburg.
ევროკავშირის.,European Union.
Zhejiang.,Zhejiang.
ევროკავშირმა.,EU.
ინდონეზია.,Indonesia.
Roulette.,Roulette.
ხმელთაშუა.,Mediterranean.
ამერიკის შეერთებული შტატები.,the United States.
ახალგაზრდების ეროვნული კვლევა საქართველოში.,National Youth Survey.
სომხური.,Armenian.
Los Angeles.,Los Angeles.
Bolt.,Bolt.
California.,California.
აფხაზეთი.,Abkhazia.
მწვანე ბუდაპეშტი - ბინები თბილისშ.,Green Budapest - Apartments.
Piraeus.,Piraeus.
წარმართთა.,Gentiles.
ს Lucas Hooker.,Lucas Hooker.
ინგლისურად.,English.
სომხეთის.,Armenia.
ირანის.,Iran.
ჰოლანდიური.,Dutch.
ბარსელონას.,Barcelona.
აფხაზეთის.,Abkhazia.
პუშკინის.,Pushkin.
Orlando.,Orlando.
სერბეთი.,Serbia.
Batumi.,Batumi Cirkus.
iOS.,iOS.
Wi - Fi.,Wi - Fi.
კორეის.,Korean.
Ferry TO.,Ferry TO.
Disney.,Disney.
სლოვენია.,Slovenia.
Toyota.,Toyota.
სს.,JSC.
ქუთაისი.,Kutaisi.
ACE.,ACE.
CNC.,CNC.
ბრაზილიის.,Brazilian.
ლონდონი.,London.
ნიდერლანდების.,Netherlands.
მექსიკა.,Mexico.
Hangzhou.,Hangzhou.
Liyang Paper Products Co Ltd.,Liyang Paper Products Co Ltd.
პოლონეთის.,Poland.
ბანკის.,Bank.
ალბანეთი.,Albania.
ბალტიის.,Baltic.
CCC.,CCC.
ბრიტანელი.,British.
მიგრაციის კომისია.,Migration Commission.
Windows 7.,Windows 7.
მთავრობის.,Government.
ესპანეთის.,Spain.
NASA.,NASA.
სომხეთში.,Armenia.
კუბის.,Cuban.
ინტერნეტის სამინისტროებს დარეგისტრირებული აქვთ.,Internet Ministries.
Florida.,Florida.
Skype.,Skype.
Peugeot სიჩქარე Fight.,Peugeot Speedfight.
Ibiza.,Ibiza.
Karylle სოლანა.,Karylle Solana.
Sihanoukville.,Sihanoukville.
ევროკომისიამ.,The European Commission.
DHL.,DHL.
Linux.,Linux.
საქართველოშ.,Georgia.
CHANEL.,CHANEL.
აშშ.,U S.
Lenovo.,Lenovo.
ირანული.,Iranian.
Santorini.,Santorini.
მოსეს.,Moses.
აზერბაიჯანში.,Azerbaijan.
HP.,HP.
თბილისის საქალაქო სასამართლომ.,Tbilisi City Court.
Guangdong.,Guangdong.
ევროკომისიის.,European Commission.
Word.,Word.
დავით Warin Solomons ',David Warin Solomons '
ქრისტიანი.,Christian.
ბილეთი.,Mainland.
რეგიონული განვითარებისა დეპარტამენტის.,Roads Department.
თბილის.,Tbilisi.
ავსტრალიის.,Australia.
მოლდოვა.,Moldova.
ფილიპინები.,Philippines.
Max.,Max.
ICO.,ICO.
კაზაკები.,Cossacks.
Solaray.,Solaray.
ტერასა ჯგუფი.,Terrassa Group.
იერუსალიმის.,Jerusalem.
ბულგარეთში.,Bulgaria.
ლუქსემბურგი.,Luxembourg.
არგენტინა.,Argentina.
სტამბულში.,Istanbul.
იესო ქრისტე.,Jesus Christ.
Genoa.,Genoa.
GWA.,GWA.
პეტრე.,Peter.
ევროკომისიის.,the European Commission.
ჰოლივუდის.,Hollywood.
UPS.,UPS.
ჯარი.,Army.
მალტის.,Malta.
Android.,Android.
ინსტიტუტის.,Institute.
Ferryto.,Ferryto.
Superb სამსახურის.,Superb Service.
გერმანულ.,German.
დასაწყისი.,DE.
ტაილანდში.,Thailand.
ნატოს.,NATO.
სტრასბურგში.,Strasbourg.
თიბისი ბანკის.,TBC Bank.
Brexit.,Brexit.
შეერთებული შტატები.,United States.
სირიაში.,Syria.
ბენ 10.,Ben 10.
ე Email :,bakha.
პრივატბანკი.,Privatbank.
ბარსელონა.,Barcelona.
მუსულმანები.,Muslims.
რუსთავში.,Rustavi.
კათოლიკური.,Catholic.
ისრაელის.,Israeli.
ევროპელი.,European.
გაერთიანებული სამეფო.,United Kingdom.
KTM Rally.,KTM Rally.
გერმანული.,German.
Dell.,Dell.
რუსთავი.,Rustavi.
Austin Meadows.,Austin Meadows.
AASraw.,AASraw.
ეს FX Robot.,This FX Robot.
რუსეთს.,Russia.
ესტონეთის.,Estonia.
აჭარაში.,Adjara.
იუნესკოს.,UNESCO.
ამერიკელები.,Americans.
ჯონ.,John.
გუდაური.,Gudauri.
Clenbuterol.,Clenbuterol.
ყაზახეთში.,Kazakhstan.
ბოსნია.,Bosnia.
იმერეთის.,Imereti.
ვენაში.,Vienna.
აფრიკის.,African.
ქართველები.,Georgians.
Google Analytics.,Google Analytics.
CS GO.,CS GO.
Boston.,Boston.
ბრიტანეთი.,Britain.
იესო ქრისტეს.,Jesus Christ.
ანკარას.,Ankara.
UAE.,UAE.
ჯგუფი სამოგზაუროდ.,Group Travel.
საქსტატის.,Geostat.
FCC.,FCC.
კიევში.,Kiev.
Bosch.,Bosch.
საუდის არაბეთი.,Saudi Arabia.
მასშტაბით wBuyBuy Global მაღაზია.,BuyBuy Global Shop.
FHT.,FHT.
ჰელსინკის.,Helsinki.
Incheon.,Incheon.
Husqvarna.,Husqvarna.
EIB.,EIB.
უნივერსიტეტში.,University.
ნატო.,NATO.
ჩრდილოეთ ამერიკის.,North American.
ჩრდილოეთ ირლანდიის.,Northern Ireland.
ლუკა.,Luke.
ქვემო.,Kvemo.
Marbella.,Marbella.
სწავლების ცენტრის.,the Training Center.
Zaragoza.,Zaragoza.
TINA.,TINA.
Firefox.,Firefox.
პარლამენტი.,Parliament.
ფინეთის.,Finland.
პავლეს.,Paul.
უზბეკეთი.,Uzbekistan.
უზენაესი სასამართლოს.,Supreme Court.
ვაკეში.,Vake.
Budapest.,Budapest.
Busan.,Busan.
Netflix.,Netflix.
აშშ.,the U S.
პრაღაში.,Prague.
Toshiba.,Toshiba.
ISFED.,ISFED.
Zam_franca.,Zam_franca.
FS2004.,FS2004.
Dover.,Dover.
მაროკოს.,Morocco.
ჰონკონგი.,Hong Kong.
Lari Banknotes.,Lari Banknotes.
საფრანგეთში Train.,France Train.
დანიის.,Danish.
ODM.,ODM.
IBM.,IBM.
ჯგუფი სკოლა სოციალური კლუბი.,Group School Social Club.
უნგრეთში.,Hungary.
ქრისტე.,Christ.
ბელორუსია.,Belarus.
ბულგარეთის.,Bulgarian.
ქრისტიანობა.,Christianity.
მილანში.,Milan.
Daewoo.,Daewoo.
Alaska.,Alaska.
USDA.,USDA.
EPA.,EPA.
პარლამენტში.,Parliament.
Bluetooth.,Bluetooth.
მიუნხენის.,Munich.
Mac.,Mac.
მარნეულის.,Marneuli.
Pudong.,Pudong.
ინგლისურის.,English.
ბრაზილიაში.,Brazil.
ცესკო.,CEC.
BP.,BP.
ბორჯომის.,Borjomi.
OECD.,OECD.
ისლანდია.,Iceland.
Vegas.,Vegas.
Windows 8.,Windows 8.
crrccenters org.,CRRC.
Mykonos.,Mykonos.
NBA.,NBA.
გერმანი ა.,Germany.
შოტლანდია.,Scotland.
Galaxy Zoo.,Galaxy Zoo.
ებრაელი.,Jewish.
MUM.,MUM.
სტალინის.,Stalin.
ეგვიპტის.,Egyptian.
თელავი.,Telavi.
სტოკჰოლმში.,Stockholm.
Blackjack.,Blackjack.
GK.,GK.
წყარ ო Naturals.,Source Naturals.
შანხაის ახალი საერთაშორისო ექსპო ცენტრი.,Shanghai New International Expo Centre.
ფრანგულ.,French.
Visa Electron.,Visa Electron.
ინგლისი.,England.
ფრანგულ.,French.
მაროკო.,Morocco.
ლენინგრადის.,Leningrad.
მცხეთა.,Mtskheta.
Las Vegas.,Las Vegas.
Chengdu.,Chengdu.
Jera.,Jera.
თიბისი ბანკის.,TBC Bank 's.
Brexit.,Brexit.
Nintendo.,Nintendo.
სამხრეთ აფრიკის რესპუბლიკა.,South Africa.
ვარშავაში.,Warsaw.
Arab.,Arab.
უგანდა.,Uganda.
ალჟირი.,Algeria.
Belgrade.,Belgrade.
UNDP.,UNDP.
მსოფლიო ომის.,World War II.
ევროკავშირსა.,EU.
ამერიკულ.,American.
ევროკომისია.,European Commission.
ჩილე.,Chile.
ტანზანია.,Tanzania.
ზუგდიდში.,Zugdidi.
ფინეთის.,Finnish.
ახლო აღმოსავლეთში.,the Middle East.
არაბული.,Arabic.
სირიის.,Syrian.
Naples.,Naples.
Ohio.,Ohio.
EAPM.,EAPM.
იუდას.,Judah.
საკვები და სასმელები.,Food Beverages.
ბერძნულ.,Greek.
ბაკურიანი.,Bakuriani.
ბანკი.,Bank.
ებრაული.,Jewish.
ნიგერია.,Nigeria.
ლგბტ.,LGBT.
Johnson Industries.,Johnson Industries.
შოტლანდიის.,Scottish.
Philips.,Philips.
ტუნისი.,Tunisia.
რუსთაველის.,Rustaveli.
იუდას.,Judah.
SNIEC.,SNIEC.
Ancona.,Ancona.
ჯგუფი სამოგზაურო.,Group Travel.
NC.,NC.
HGH ტაილანდის.,HGH.
ტაჯიკეთი.,Tajikistan.
დასაწყისი.,Deutsch Dhivehi.
ქობულეთის.,Kobuleti.
ასოციაციის.,Association.
ოზურგეთის.,Ozurgeti.
eBay.,eBay.
ირლანდიის.,Irish.
Belfast.,Belfast.
საბჭოთა კავშირის.,the Soviet Union.
ჰავაის.,Hawaiian.
სამინისტროს.,Ministry.
Siemens.,Siemens.
Wizz Air.,Wizz Air.
Clenbuterol.,Clenbuterol.
Rostock.,Rostock.
Microsoft Office.,Microsoft Office.
კვიპროსის.,Cyprus.
ლუქსემბურგში.,Luxembourg.
სტამბოლში.,Istanbul.
გუდაურში.,Gudauri.
Cologne.,Cologne.
Cannondale Pos.,Cannondale Pos.
Hebei.,Hebei.
Mercedes.,Mercedes.
Florence.,Florence.
ახალგაზრდობის საქმეთა სამინისტრ.,Youth Affairs.
Austin.,Austin.
მაკედონია.,Macedonia.
Rikoooo.,Rikoooo.
ევროპარლამენტის.,European Parliament.
GBPUSD.,GBPUSD.
ECB.,ECB.
CES.,CES.
ტყუპები.,Gemini.
MyoGen.,MyoGen.
Paypal.,Paypal.
ბანგკოკში.,Bangkok.
რუანდაში.,Rwanda.
პაკისტანი.,Pakistan.
ICC.,ICC.
Explorer.,Explorer.
Black Decker.,Black Decker.
კემბრიჯის.,Cambridge.
ლერმონტოვის.,Lermontov.
რ ქვათაძემ.,R Kvatadze.
Bari.,Bari.
Tenerife.,Tenerife.
საწყის ი გვერდიპროდუქციაინსტრუმენტებისამაგრებილითონის სამაგრი ნაკეთობები დიუბელები.,Home  PRODUCTS  TOOLS  Fixture  Ironmongery.
Detroit.,Detroit.
ევროკავშირისა.,EU.
გერმანიასა.,Germany.
დიდი ბრიტანეთ.,UK.
რუმინეთის.,Romania.
რუმინეთში.,Romania.
ნორვეგიაში.,Norway.
სინგაპურის.,Singapore.
სინგაპურში.,Singapore.
აფხაზეთში.,Abkhazia.
ვიეტნამის.,Vietnam.
დავით ტვილდიანის.,David Tvildiani.
ახალგაზრდა იურისტთა ასოციაცია.,Young Lawyer ’s Association.
ისლამური.,Islamic.
რ Laura Thomas - Gilks.,Laura Thomas - Gilks.
ბელგიის.,Belgian.
გაერთიანებული სამეფოს.,the United Kingdom.
Windows.,Windows.
ევროპარლამენტის.,the European Parliament.
KTM.,KTM.
EBRD.,EBRD.
Sofia.,Sofia.
San Francisco.,San Francisco.
გორში.,Gori.
ესენინის.,Yesenin.
R D მარკეტინგის და წარმოებ ა Liyang ბეჭდვა.,R D Marketing and Manufacturing Liyang Printing.
VBA.,VBA.
Frankfurt.,Frankfurt.
რომი.,Rome.
პორტუგალიის.,Portugal.
ჰონგ კონგი.,Hong Kong.
ვიეტნამი.,Vietnam.
განა.,Ghana.
რუსები.,Russians.
კოლუმბია.,Colombia.
წერილი.,Scripture.
საახალწლო.,New Year 's.
ავსტრიის.,Austrian.
ერაყში.,Iraq.
კომპანიის სიახლეები.,Company News.
Goldman Casino.,Goldman Casino.
ახალგაზრდა.,Young.
Suzhou.,Suzhou.
ცენტრის.,Center.
ჩინური.,Chinese.
კავკასიური.,Caucasian.
ბინა.,AP.
ბუქარესტში.,Bucharest.
Coinbase.,Coinbase.
უელსი.,Wales.
კორფუზე.,Corfu.
ლოკოს.,Loco.
NCS.,NCS.
Wikipedia.,Wikipedia.
Ubuntu.,Ubuntu.
აქართველო.,Georgia.
ფინეთში.,Finland.
ამერიკის შეერთებული შტატების.,the United States.
თელავში.,Telavi.
სტოკჰოლმის.,Stockholm.
ი Pampanga.,Pampanga.
ANTE.,ANTE.
TOYOTA.,TOYOTA.
სუდანი.,Sudan.
ქალაქური.,Kalakuri.
Transposh.,Transposh.
აღმოსავლეთ ევროპის.,Eastern Europe.
Koh Touch.,Koh Touch.
დუბლინი.,Dublin.
Koh Touch.,Koh Touch.
ASIC.,ASIC.
ჩეხეთი.,Czech Republic.
SAP.,SAP.
ქვემო ქართლის.,Kvemo Kartli.
Google Play.,Google Play.
სახელმწიფო უსაფრთხოების სამსახურის.,the State Security Service.
სერგეი.,Sergei.
Desire - Vips.,Desire - Vips.
Audi.,Audi.
Sardinia.,Sardinia.
პორტსმუთი.,Portsmouth.
მაჟორიტარული.,majoritarian.
კორსიკა.,Corsica.
Ford.,Ford.
ირლანდიაში.,Ireland.
ირანში.,Iran.
Mitsubishi.,Mitsubishi.
ყირგიზეთი.,Kyrgyzstan.
Hitachi.,Hitachi.
თუხარელის.,Tukhareli.
ყავლაშვილის.,Kavlashvili.
ქუვეითის.,Kuwait.
HTC.,HTC.
ტორონტოში.,Toronto.
BlackBerry.,BlackBerry.
კანონი.,Law.
სამხრეთ კორეის.,South Korean.
ჰარვარდის.,Harvard.
ბოლონიის.,Bologna.
თსუ.,TSU.
ახლო აღმოსავლეთში.,The Middle East.
Airbnb.,Airbnb.
Utah.,Utah.
ნინო ლომჯარიამ.,Nino Lomjaria.
Rich Piana.,Rich Piana.
Holm.,Holm.
USDJPY.,USDJPY.
Xinqu.,Xinqu.
ესტონეთში.,Estonia.
ალბანეთის.,Albania.
ევროკომისია.,The European Commission.
ი Email :,bakha.
ტუნისში.,Tunisia.
პაკისტანში.,Pakistan.
Pampanga.,Pampanga.
ვალენსიაში.,Valencia.
API.,API.
- Chess Club Nona.,Nona.
კოალიცია.,Coalition.
ევროპელები.,Europeans.
რომაელები.,Romans.
მეთიუ.,Matt.
ახლო აღმოსავლეთის.,Middle East.
CTC.,CTC.
Atlanta.,Atlanta.
VISA.,VISA.
შავი ზღვის.,the Black Sea.
ფონდის.,Foundation.
Forbes.,Forbes.
CFTC.,CFTC.
დსთ -ს.,CIS.
NJ.,NJ.
Fukuoka.,Fukuoka.
Cherbourg.,Cherbourg.
პალესტინის.,Palestinian.
Mars.,Mars.
Motorola.,Motorola.
Phoenix.,Phoenix.
ევროპაშ.,Europe.
ტაილანდის.,Thailand.
გერმანულ.,German.
აღმოსავლეთ ევროპაში.,Eastern Europe.
ნინო ლომჯარია.,Nino Lomjaria.
Chess Club Nona.,Nona.
ლათინურ ამერიკაში.,Latin America.
საბჭოს.,Board.
BTC.,BTC.
ეთიოპია.,Ethiopia.
Delhi.,Delhi.
კავშირის.,Union.
Saracen Bay.,Saracen Bay.
ჩრდილოეთ აფრიკაში.,North Africa.
ბურუნდი.,Burundi.
ნაცისტური.,Nazi.
Rikoooo.,Rikoooo.
American Express.,American Express.
FMC.,FMC.
May Anokuru.,Anie Anokuru.
სსიპ -,LEPL - Academy.
აკვარიუმის თევზი.,Aquarium Fish.
Qualcomm.,Qualcomm.
პარლამენტმა.,Parliament.
ევროპარლამენტი.,European Parliament.
ცენტრი.,Center.
პერუ.,Peru.
სასამართლოს.,Court.
Allure Lingerie.,Allure Lingerie.
Clenbuterol.,Clenbuterol.
სახალხო დამცველი.,The Public Defender.
სახალხო დამცველმა.,The Public Defender.
ბაკალავრის.,Bachelor.
EWMI.,EWMI.
მარსელი.,Marseille.
ნინო.,Nino.
Black Latte.,Black Latte.
AMD.,AMD.
ჯილდო ფონდი.,The Reward Foundation.
Rick Grimes.,Rick Grimes.
Tuscany.,Tuscany.
დიმიტრი ქუმსიშვილი.,Dimitry Kumsishvili.
სასწორი.,Libra.
ახალი ენერგია.,New Energy.
Lockheed.,Lockheed.
ინდონეზიის.,Indonesia.
ფილიპინების.,Philippines.
პერუს.,Peru.
სასამართლომ.,Court.
http:www cgep93.,Classic Eyeball Fruity Hardwired Igames Mac.
acad edu ge.,Education Academy.
ბათუმი.,Batumi.
რომან.,Roman.
რიგაში.,Riga.
Trip Lee.,Trip Lee.
აკადემიის.,Academy.
ტოკიო.,Tokyo.
