georgian,english
შენ გაქვს ჩემი ნებართვა.,You have my permission.
ჩაკეტილი ვიყავი! რაღაც ცუდი უნდა ხდებოდეს.,I was locked out! There's got to be something fishy going on.
წავალთ შენთან ერთად.,We'll go with you.
მონღოლეთი.,Mongolia.
კომისიას.,Commission.
ქრისტიანობა.,Christianity.
რას შეისწავლის სოვეტოლოგი?,What does a Sovietologist study?
უნგრეთის.,Hungary.
კატა წიგნს კითხულობს.,The cat is reading a book.
საბჭოთა კავშირის.,the Soviet Union.
ბრიუსელი.,Brussels.
ბელორუსია.,Belarus.
ქრისტიანად აღიზარდა.,She was raised a Christian.
ტრამპის.,Trump.
მოწევა თავის მოკვლაა.,Smoking means suicide.
ნიკორას.,Nikora.
ერთი ნაბიჯი და მკვდარი კაცი ხარ.,"One more step, and you'll be a dead man."
ტომი არ არის შიგნით.,Tom's not in.
საუბნო საარჩევნო კომისიების.,PEC.
ჩეხური.,Czech.
ჩინურად ლაპარაკობ?,Do you speak Chinese?
საუკეთეს ო Forex რობოტები.,the Best Forex Robots.
ვერძი.,Aries.
ინგლისში წასვლა მინდა.,I want to go to England.
ახმეტის.,Akhmeta.
ბუქარესტში.,Bucharest.
ანკარას.,Ankara.
ბალის.,Bali.
"ტომი მარის მეზობელია, არა?","Tom is Mary's neighbor, isn't he?"
ქართული.,Georgian.
სოლომონ.,Solomon.
გიყვარს დედაშენი?,Do you love your mother?
ტოსტერის შეკეთება მომიხდა.,I had to fix the toaster.
პეკინში.,Beijing.
რამდენი ხანია ხართ იაპონიაში?,How long have you been in Japan?
ჩინეთში.,china.
ვინ იყო ექსპედიციის წინამძღოლი?,Who was the leader of the expedition?
ამ ვაშლს ვისაც უნდა იმას მივცემ.,I'll give this apple to whoever wants it.
ბანკი.,Bank.
დათვმა არცერთი ქვა არ დატოვა ამოუტრიალებელი მსუქალი ხოჭოების ძებნისას.,The bear left no stone unturned in his search for fat bugs under the rocks.
ეს ტომის სკოლაა.,This is Tom's school.
მცივა. შეიძლება ფანჯარა დავხურო?,I'm cold. May I close the window?
ქრისტიანობის.,Christianity.
ბალტიის.,Baltic.
თბილისის სახელმწიფო სამედიცინო უნივერსიტეტი.,Tbilisi State Medical University.
სნოუ პლაზა.,Snow Plaza.
უნგრეთში.,Hungary.
მე ვარ ჩოგბურთის კლუბში.,I'm in the tennis club.
ჩაი და ყავა გეხმარება დღის დაწყებაში.,Tea and coffee helps to start the day.
საიდან ეს დროშა?,Where does this flag come from?
მე მგონი ტომი ბოსტონში ცხოვრობს.,I think Tom lives in Boston.
ყოველთვის ვუყურებ ამ სურათს მორყვნით.,I always view this photo with disgust.
იტყუები.,You are lying.
მეთიუ.,Matt.
მონაკო.,Monaco.
დედა გიყვართ?,Do you love your mother?
ჩემი სახელია რიკარდო.,My name is Ricardo.
"ვიცნობ ბევრ ადამიანს, ვისაც ეს შეუძლია.",I know lots of people who can do that.
სერბული.,Serbian.
ტომი არ არის კაპიტალისტი.,Tom isn't a capitalist.
გაერო.,UN.
"გამარჯობა, ნენსი ვარ.","Hello, I am Nancy."
მე ნორვეგიადან ვარ.,I am from Norway.
კუბის.,Cuban.
გისურვებთ ბედნიერებას.,I wish you happiness.
ბუდისტური.,Buddhist.
სამი მუქკანიანია.,Sami is dark-skinned.
ევროკომისიის.,the European Commission.
თბილისის საქალაქო სასამართლოს.,Tbilisi City Court.
შეხვედრამდე.,See you again.
პეკინი - ჩინეთის ეროვნული კონვენციის ცენტრი.,Beijing - China National Convention Center.
"ტომმა იცოდა, რომ სადღაც და ჰყავდა, მაგრამ არასოდეს ენახა","Tom knew he had a sister somewhere, but he had never seen her."
"გოგომ უარყოფის ნიშნად თავი გაიქნია, ბიჭი კი იდგა გაუნძრევლად.",The girl shook her head in refusal and the boy stood there shaking.
ცენტრის.,Centre.
ბუდისტები.,Buddhists.
ახალგორის.,Akhalgori.
კარაქი დამზადებულია რძისგან.,Butter is made from milk.
მე უნდა წავიდე.,I have to go.
"ჩვენ შევთანხმდით, რომ სამსახურში თავს შევიკავებდით მოწევისაგან.",We agreed to refrain from smoking while we are at work.
სკოლაში წასვლა მინდა.,I want to go to school.
ნორმანდიის.,Normandy.
ავტორ  ებ.,Author  s.
სიახლეების არქივი.,News Archive.
მათ გაატარეს თავიანთი დასვენება მთებში.,They spent their holiday in the mountains.
ბრიტანელი.,British.
იაპონიაშ.,Japan.
დავით Malan.,DAVID MALAN.
პუტინის.,Putin.
შეგვიძლია!,We can!
პაპი.,Pope.
მან უნდა წავიდეს.,She needs to go.
ახალი მასწავლებელი საკლასო ოთახშია.,The new teacher is in the classroom.
საღამო მშვიდობისა.,Good evening.
აზერბაიჯანს.,Azerbaijan.
ის ლამაზია.,She is beautiful.
ესპანეთის.,Spain.
ნევისი.,Nevis.
აი რატომ სწავლობენ ინგლისურს.,That is what they study English for.
ახლა შეგიძლია წახვიდე.,You can go now.
ტომი არის მიკრობიოლოგი.,Tom is a microbiologist.
როგორა ხარ?,How are you?
საქართველოს მთავრობის.,the Government of Georgia.
თსუ.,TSU.
ფარისეველთა.,Pharisees.
ამაზრზენი ხარ!,You're disgusting!
სამხრეთ კორეის.,South Korea.
იტალიურად ლაპარაკობთ?,Do you speak Italian?
უზბეკეთის.,Uzbekistan.
ლიხტენშტაინი.,Liechtenstein.
დუბაიში.,dubai.
მე სახლის კაცი ვარ.,I'm the man of the house.
იუდას.,Judah.
ისლამი.,Islam.
მინდა სპორტის გაკეთება.,I want to do some sport.
სიღნაღში.,Sighnaghi.
ნიგერიის.,Nigerian.
დღეს დიდი დღეა ჩვენი ტომისთვის.,Today is a big day for our tribe.
ვისაუბრეთ.,We talked.
საქართველოში.,Georgia.
ინგლისური.,English.
იუსტიციის.,Justice.
რამდენი წიგნი შემიძლია გავიტანო ერთ დროს?,How many books can I take out at one time?
ჯგუფი სამოგზაურო.,Group Travel.
გაეროს.,United Nations.
მე ვარ რიკარდო.,I'm Ricardo.
შავი ზღვის.,the Black Sea.
ანტარქტიდა.,Antarctica.
ჯიბეში რაღაც ფული მაქვს.,I've got some money in my pocket.
ამერიკულ.,American.
ყოველთვის სკოლაშია.,She is always at school.
FM Transmitter და სატელევიზიო.,FM Transmitter TV.
დიდი ბრიტანეთი.,Great Britain.
წყალტუბოს.,Tskaltubo.
ეს გოგოა.,This is a girl.
ტომს არ უნდა წავიდეს შენთან ერთად.,Tom doesn't want to go with you.
როდიდან?,Since when?
ჩართოთ ტელევიზორი.,Turn on the TV.
რომლის პირველი დღეა.,Anno Domini.
კავკასუს ონლაინი.,Caucasus Online.
თომი არ ხარ?,Aren't you Tom?
სამსახურის.,Service.
ალბომების სია.,Album list.
ეგ სკოლაა.,That is a school.
რამდენიმე წიგნი გაქვს.,You have few books.
ძალიან დაბალი ხართ.,You're very short.
ქართველებმა.,Georgians.
ყაზახეთის.,Kazakhstan.
თქვენ ექიმები ხართ.,You are doctors.
ინგლისურად.,English.
აფრიკა კონტინენტია.,Africa is a continent.
ირინა.,Irina.
მანქანა მყავს.,I have a car.
ფრანგული.,French.
"სილამაზე რეკომენდაციის წერილია, რომლის იგნორირებაც თითქმის შეუძლებელია.",Beauty is a letter of recommendation which it is almost impossible to ignore.
მე ვარ ინგლისელი.,I come from England.
უყურებთ სიახლეებს?,Do you watch the news?
მე ვაშლს ვჭამ.,I eat an apple.
ჩრდილოეთ კორეა.,North Korea.
საქართველოს პარლამენტის.,the Parliament of Georgia.
რუსეთის.,Russia.
ტრინიდადი.,Trinidad.
თვალის.,OKO.
მოსკოვი.,Moscow.
„ქართული.,Georgian.
ლუკას.,Luke.
SSG -ს.,SSG.
ის ახალი სურათია?,Is it a recent picture?
არასოდეს დაწეროთ სიტყვები ''ბორშჩი'' და ''შჩი'' გერმანულად!,"Never write the words ""bortsch"" and ""shchi"" in German!"
დუბლინში.,Dublin.
ხორცი გაქვს.,You have meat.
ლაპარაკობ ინგლისურად?,Do you speak English?
ტომმა ლექსიკონი იყიდა მარიამისთვის.,Tom bought Mary a dictionary.
დიმიტრი ქუმსიშვილი.,Dimitry Kumsishvili.
მე მინდა ვიყო ჟურნალისტი.,I want to become a journalist.
ბერლინში.,Berlin.
გალის.,Gali.
პაკისტანში.,Pakistan.
მე კატა ვარ.,I'm a cat.
ეს გავრცელებულია ევროპაში.,This is common in Europe.
წერილი დაგიწერე.,I wrote you a letter.
პალესტინის.,Palestine.
დავივიწყეთ.,We forgot.
ნიკორას.,Nikora.
ხელვაჩაურის.,Khelvachauri.
საბურთალოზე.,Saburtalo.
ბრაზილია.,Brazil.
არის ტომი უფრო ახალგაზრდა ვიდრე შენ?,Is Tom younger than you?
მე მუშაობა არ მინდა ასეთ პირობებში.,I don't want to work under these conditions.
გაერთიანებული სამეფო.,the United Kingdom.
"პეტრე მაგიდიდან ადგა, უსიტყვოდ ჭიქა გამოცალა და მერე ისევ დაჯდა.","Peter got up from the table, silently poured out his glass, then sat down again."
თქვენ აქ ცხოვრობთ?,Do you live here?
"""სადაა ტომი""? ""ავსტრალიაშია.""","""Where's Tom?"" ""In Australia."""
გშია.,You're hungry.
მწვანე პერანგი მაქვს.,I have a green shirt.
გაეროს.,UN.
აზერბაიჯანში.,Azerbaijan.
ვისი შვილი ხარ შენა?,Whose child are you?
იტალიურ.,Italian.
აზერბაიჯანსა.,Azerbaijan.
მშვილდოსანი.,Sagittarius.
სირიაში.,Syria.
ესპანეთის.,Spanish.
ამ ექიმმა არაფერი არ იცის.,This doctor doesn't know anything.
ტომს უჭირდა სიტუაციის გამოსწორება.,Tom had trouble resolving the situation.
ორენოვანი ხარ?,Are you bilingual?
მიუნხენის.,Munich.
სვანეთში.,Svaneti.
მე მინდა მოვკვდე გეთერ იანი - თან ერთად.,I want to die with Getter Jaani.
მათ ჰყავთ ბევრი ბავშვები.,They have lots of children.
ტალოსურად ლაპარაკობ?,Do you speak Talossan?
ავტოავარიამ სამი ადამიანის სიცოცხლე იმსხვერპლა.,Three people died in the car accident.
ლუქსემბურგი.,Luxembourg.
სად დავდე გასაღები?,Where did I put the key?
მე არ მაქვს ალტერნატივა.,I have no alternatives.
მე ვარ ამერიკიდან.,I come from America.
კნუტები გორავენ.,The kittens are rolling.
სახლი.,Residential House.
პეკინის.,Beijing.
ბორის ჯონსონმა.,Boris Johnson.
იესო ქრისტეს.,Jesus Christ.
ერაყში.,Iraq.
მასაჩუსეტსის.,Massachusetts.
კოლუმბიაში.,Colombia.
ამერიკის შეერთებული შტატების.,the United States.
მთავრობის.,Government.
ბრიტანეთის.,Britain.
საწყის ი გვერდიპროდუქციასანტექნიკაშემრევი ონკანები საშხაპე ნაკრები .,Home  PRODUCTS  Plumbing  Faucets.
ქრისტე.,Christ.
ზუგდიდში.,Zugdidi.
დუბლინი.,Dublin.
ცენტრალური აზიის.,Central Asian.
პავლე.,Paul.
გრიგოლ ნემსაძე.,Grigol Nemsadze.
ვიკიპედია.,Bitcoin.
ტუნისის.,Tunisia.
სამსახური.,Service.
სინგაპური.,Singapore.
იმავე წელს დავიბადეთ.,We were born in the same year.
ინგლისურად ვილაპარაკოთ.,Let's speak English.
დანია.,Denmark.
"ტომმა თქვა, რომ წავიდოდა ბოსტონში.",Tom said that he'd go to Boston.
მარია.,Maria.
თბილისის საქალაქო სასამართლომ.,The Tbilisi City Court.
ინდოეთში წასვლა მინდა.,I want to go to India.
სააკაშვილის.,Saakashvili.
ადამიანის უფლებათა ცენტრის.,Human Rights Center.
თევზები ზღვაში ცხოვრობენ.,Fish live in the sea.
აი შენი გასაღები.,Here is your key.
ევროპულ.,European.
"მარი არის ნამდვილად ლამაზი, არ არის ის?","Mary is really pretty, isn't she?"
ეგ წიგნი ღირს წასაკითხად.,That book is worth a read.
გვინდა ბოსტონში და შიკაგოში წავიდეთ.,We want to go to Boston and Chicago.
მარნეულის.,Marneuli.
ვენაში.,Vienna.
რუსები.,Russians.
ახალი ზელანდია.,New Zealand.
წიგნი გაქვს?,Do you have the book?
იურიდიული დახმარების სამსახური.,Legal Aid Service.
ნუ წახვედი.,Don't go.
სწავლების ცენტრის.,Training Center.
მე არ ვარ ექიმი.,I'm not a doctor.
კაჰანე არ იყო მართალი.,Kahane wasn't right.
ბერძნულ.,Greek.
აჭარაში.,Adjara.
საზოგადოებაში ვცხოვრობთ.,We live in a society.
თქვენ ძალიან დაბალი ხართ.,You're very short.
ეკვადორის.,Ecuador.
ტომისაა?,Is it Tom's?
ლიბანი.,Lebanon.
მაგთის.,Magti.
მილანი.,Milan.
ალი.,Ali.
ჰონკონგში.,Hong Kong.
არ უნდა ქარხანაში მუშაობა.,He doesn't want to work in a factory.
საღამოს ჰავაიში მივდივართ.,We are leaving for Hawaii tonight.
ებრაული.,Jewish.
ინდოეთი.,India.
ნუ დაგვივიწყებთ!,Don't forget about us!
აღმოსავლეთ ევროპის.,Eastern Europe.
ბორის პასტერნაკის.,Boris Pasternak.
მომეცი ცეცხლი.,Give me fire.
აქ ხარ?,Are you there?
"გამარჯობა, მე ვარ ნენსი.","Hello, I am Nancy."
სახელმწიფო.,State.
ვერ ვრჩები ავსტრალიაში. უნდა დავბრუნდე ახალ ზელანდიაში.,I can't stay in Australia. I have to get back to New Zealand.
გინდა ეს მიიღე?,Do you want to take that?
ფორექს ექსპერტი მრჩეველი.,Forex Expert Advisor.
ევროპის.,Europe.
წლის საქართველოს სახალხო დამცველმა.,the Public Defender of Georgia.
ლატვიურად არ ვლაპარაკობ.,I do not speak Latvian.
გაცემული.,Grant.
კანადაში.,Canada.
ალბანეთი.,Albania.
ორივეც კარგი მასწავლებლები არიან.,They are both good teachers.
ტერასა ჯგუფი.,Terrassa Group.
ეს მაგიდაა.,This is a table.
მსოფლიო ბანკის.,the World Bank.
მე ქარხანაში ვმუშაობ.,I work in a factory.
მელბურნის.,Melbourne.
ედინბურგის.,Edinburgh.
გუდაური.,Gudauri.
ისლამური.,Islamic.
მეორე მსოფლიო ომის.,WWII.
ჩინური.,Chinese.
უნივერსიტეტი.,University.
ვაკეში.,Vake.
ყირგიზეთის.,Kyrgyzstan.
კონგოს.,Congo.
რომში.,Rome.
ბინა.,AP.
ის არის მსოფლიო ჩემპიონი.,She's the world champion.
ყურძენი გაქვთ.,You have grapes.
შეგეცი!,Fuck you!
ამ წიგნში ბევრი სურათია.,There are many pictures in this book.
გიორგი შარაბიძემ.,Giorgi Sharabidze.
ბრიტანეთის.,British.
პირველი მსოფლიო ომის.,the First World War.
კანადის.,Canadian.
ეს ვისი კაბაა?,Whose dress is this?
წყალს მოვიტან.,I'll bring some water.
გაეროს ბავშვთა ფონდის.,UNICEF.
კვიპროსის.,Cyprus.
სამხრეთ სუდანი.,South Sudan.
ალჟირელები ბერბერულს სწავლობენ სკოლაში.,Algerians learn Berber at school.
მე ინგლისიდან ვარ.,I come from England.
აჭარის.,Adjara.
ყველას უნდა უყვარდეს თავისი ქვეყანა,All people should love their country.
სეტყვავს.,It's hail stoning.
სახაზინო.,Treasury.
რა გქვია?,What's your name?
მე საზაფხულო არდადეგების დროს ფოსტაში ვმუშაობდი.,I worked in a post office during the summer vacation.
"მარი გაოგნდა, როცა გაიგო, რომ ტომს თავის ბიძაშვილთან სექსი ჰქონდა.",Mary was shocked when she learned that Tom had had sex with his cousin.
ამერიკის შეერთებული შტატები.,United States of America.
კრედო ბანკის.,Credo Bank.
ორი საათია.,It's two o'clock.
დასაწყისი.,DE.
მიმწოდებელ ი Factory.,Supplier Factory.
ბალტიის ზღვის.,the Baltic Sea.
მე წვნიანს ვჭამ სამზარეულოში.,I'm eating soup in the kitchen.
ევროკავშირმა.,EU.
სახალხო დამცველის.,the Public Defender.
ტომი ავსტრალიაში გაიზარდა?,Did Tom grow up in Australia?
ფინეთში.,Finland.
არ მინდა სკოლაში წასვლა.,I don't want to go to school.
ჰერცოგოვინა.,Herzegovina.
საკითხებში ანდრის პიებალგს.,Andris Piebalgs.
ვაზა მან მოტეხა.,It was him who broke the vase.
სამხრეთ კორეის.,South Korean.
იტალია.,Italy.
რუსეთის ფედერაციის.,the Russian Federation.
ქალი პურს ჭამს.,The woman eats bread.
ვინ ამას დაიჯერებს?,Who will believe this?
ლომი ღრიალებს.,The lion is roaring.
ვიეტნამის.,Vietnam.
ბოლნისის.,Bolnisi.
ძალიან დაბალი ხარ.,You're very short.
"ხილი და ბოსტნეული ჯანმრთელი არიან, მაგრამ ჩვენ არ ვიცით რატომ.","Fruit and vegetables are good for your health, but we don't know why."
ეს ყველამ იცის.,Anybody knows it.
წიგნი მინდა შვედურად.,I want a book in Swedish.
რომან.,Roman.
ანდორა.,Andorra.
"თუ იჩქარებ, დაეწევი.","If you hurry, you will overtake him."
კოსტა რიკა.,Costa Rica.
საბერძნეთი ძველი სახელმწიფოა.,Greece is an old country.
კომპიუტერული ტექნოლოგიებისა და საინჟინრო საქმის ფაკულტეტ.,Faculty of Computer Technologies.
მე წასვლას ვაპირებ.,I'm going to go.
გეთანხმებით.,I agree.
ვისი კაბაა ეს?,Whose dress is this?
ინდური.,Indian.
ებრაელი.,Jewish.
ევროსტატის.,Eurostat.
შრი ლანკა.,Sri Lanka.
საქართველოს ეროვნული მუზეუმი.,Georgian National Museum.
ქუვეითის.,Kuwait.
აზიაში იაპონელი.,Asia Japanese.
ალექსანდრე.,Alexander.
ამ შუადღეს ბევრი თევზი დავიჭირეთ,We caught a lot of fish this afternoon.
მე ფეხმძიმე ვარ.,I am pregnant.
ტომიც აქაა.,"Tom is here, too."
სანტა კლაუსი.,Santa Claus.
პირველი საათია.,It's one o'clock.
გოგომ ქოლგა გაშალა.,The girl opened her umbrella.
ფილიპინები.,Philippines.
აფრიკულს ვსწავლობ.,I am learning Afrikaans.
საბჭოს.,HCOJ.
გერმანელები.,Germans.
ებრაელი.,Jew.
მარინა.,Marina.
კაცმა პური შეჭამა.,The man ate the bread.
სან ანტონიო.,San Antonio.
სერბეთი.,Serbia.
სევილიაში.,Seville.
ის წერილს დაწერა.,She wrote a letter.
კომპანია.,Company.
სტატისტიკის ეროვნული სამსახურის „საქსტატი.,National Statistics Office of Georgia.
ტომმა თქვა ის და მისი ცოლი უნდა წავიდნენ ავსტრალიაში გაზაფხულზე.,Tom said he and his wife would go to Australia in the spring.
ინოვაციური ტექნოლოგიური გადაწყვეტილებები.,Innovative Technology Solutions.
ტრიბუნალის.,Tribunal.
ნუ აბანავებ ძაღლს საპნით. შამპუნი გამოიყენე.,Don't wash the dog with soap. Use shampoo.
ის ხშირად აცდენს სკოლას.,He often bunks off school.
ლიზა.,Lisa.
ჩემი მეტსახელია იჩი.,"I go by the nickname ""Itch."""
კენიაში.,Kenya.
ამერიკელი ხარ თუ ფრანგი?,Are you American or French?
ზედმეტად ვსვამ!,I drink too much!
საკვები და სასმელები.,Food Beverages.
"ვინ გინდა, რომ მოიგოს?",Who do you want to win?
პოლონეთში.,Poland.
ცხადია.,Certainly.
მე ვერ შეასრულა ტომ.,I couldn't stop Tom.
ის მერხზე ზის.,He's sitting on the bench.
ისრაელის.,Israel.
ჩინური.,Chinese.
ეს ჩანთაა.,This is a bag.
იმ ქალაქში არ ვცხოვრობ.,I don't live in that city.
ჰონდურასის.,Honduras.
ხარკოვის.,Kharkiv.
ფრანგული ვისწავლე.,I learned French.
სანტა.,Santa.
ბრიუსელში.,Brussels.
მაკაო.,Macau.
აი რატომ ინგლისურს სწავლობენ.,That is what they study English for.
"ამ ინფორმაციის საიმედოობაში ეჭვი არ მეპარება, რადგან ის სანდო ადამიანისგან მოდის.",I don't doubt the reliability of his information because it comes from a trustworthy person.
თამაში.,GameRigth Now com.
ჩრდილოეთ.,North.
ჩემს ფანჯარასთან ბუ დავინახე.,I saw an owl at my window.
ფოთი.,Poti.
მე შენს უკან ვარ.,I'm behind you.
იმის გამო ინგლისურს სწავლობენ.,That is what they study English for.
ჩვენს სტუმრებს ეჩქარებათ.,Our guests are in a hurry.
კეკელიძის სახელობის საქართველოს ხელნაწერთა.,Korneli Kekelidze Georgian National Centre.
კოლეჯი.,College.
ჯგუფის.,Group.
თქვენ კარს აღებთ.,You open the door.
მარიამი არის ტომის დედა.,Mary is Tom's mother.
"ერთი, ორი, სამი, ოთხი, ხუთი, ექვსი, შვიდი, რვა, ცხრა, ათი.","One, two, three, four, five, six, seven, eight, nine, ten."
არ გეთანხმები.,I don't agree with you.
"ტომი ნამდვილად არ სთხოვს, რომ მარია ის გააკეთოს.",Tom definitely won't ask Mary to do that.
ტომი ცხოვრობს ავსტრალიაში?,Does Tom live in Australia?
ორი მანქანა მქონდა.,I had two cars.
ევროკავშირის.,the European Union.
აშშ.,USA.
მოდი რაღაც ვცადოთ!,Let's try something.
აღმოსავლეთ ევროპაში.,Eastern Europe.
ის ლაგოსიდან მოვიდა.,He came from Lagos.
ეს ადგილი ძალიან სასიამოვნოა.,This place is very pleasant.
შენ ახლა ცრუობ ჩემთვის.,You're lying to me now.
ეკლესია.,Church.
შვედეთი.,Sweden.
მწვანე სახლი მაქვს.,I have a green house.
"შენ, ჩუმად!","You, be quiet!"
მარიამმა ცაზე იყო.,Mary was in heaven.
თეირანში.,Tehran.
ბოლივია.,Bolivia.
წყალი ძალიან ცხელი არის.,The water's very hot.
იესო.,Jesus.
საქართველოსა.,Georgia.
წალკის.,Tsalka.
მე არ შემიძლია ვთქვა რამე ცუდი ტომის შესახებ.,I can't say anything bad about Tom.
ბურჟ ხალიფა სამყაროს ამჟამინდელი უმაღლესი ცათამბჯენია.,Burj Khalifa is currently the tallest skyscraper in the world.
არ მომწონდა.,I didn't like it.
მინდა ვიყო მსახიობი.,I want to be an actress.
ცივა.,It's cold.
ბენინი.,Benin.
გვაქვს დაჯავშნა.,We have a reservation.
მენადი არ გაგიჟდება.,Mennad won't get mad.
მედიის განვითარების ფონდი.,Media Development Foundation.
ლათინური ამერიკის.,Latin American.
ის ჩემი ძროხაა.,It is my cow.
უკრაინული.,Ukrainian.
კოსოვო.,Kosovo.
ისინი ჩემი დები არიან.,They are my sisters.
გჭირდებათ ტუალეტის ქაღალდი?,Do you need toilet paper?
ქვემო.,Kvemo.
აი შენი წიგნი.,Here is your book.
მეორე მსოფლიო ომის.,the Second World War.
შეგიძლია პირობა მომცე?,Can you get permission?
აყვავებული ბუჩქების.,Flowering Shrubs.
ავსტრალიის.,Australia.
თერთმეტი საათია.,It's eleven o'clock.
რუმინეთის.,Romanian.
ნორვეგიის.,Norwegian.
ტალინი.,Tallinn.
ყველა ადამიანი ჰაერს სუნთქავს.,All people breathe air.
ნობელის პრემიის ლაურეატი.,Nobel Prize.
შვეიცარიაშ ი.,Switzerland.
გეთაყვა ნიღაბი ატაროთ.,Please wear a mask.
"მე დავიღალე, და დაწოლა მინდა.",I am tired and I want to go to bed.
იაპონია.,Japan.
შეგიძლია ადრე მოხვიდე დღეს?,Can you come early today?
"მარინამ იცის, კრება სად იქნება.",Marina knows where the meeting will be.
ნიუე ქვეყანაა.,Niue is a country.
მინდა შენთან ლაპარაკი.,I want to talk to you.
კარგი იდეაა ყოფილი ხაკერების დაცვის პროფესიონალებად დანიშვნა?,Is it a good idea to hire former hackers to work as security professionals?
ქათამი ჭამს პეპელას.,The chicken eats a butterfly.
ისანი.,Isani.
მსოფლიოს ფედერაცია.,World Federation.
არ გიყვართ თქვენი ძაღლი?,Don't you love your dog?
დასავლეთის.,West.
საიტზე Ferry TO.,Ferry TO.
რამდენ ხანს დარჩი?,How long did you stay?
სურათი Daewoo.,Photo Daewoo.
ბუხარესტში ვცხოვრობ.,I live in Bucharest.
დაღლილი იყავით.,You were tired.
შენგენის.,Schengen.
ჰონსიუ.,Honshu.
ლერმონტოვის.,Lermontov.
არის ტომი უფრო უფროსი ვიდრე შენ?,Is Tom older than you?
ნებართვა არ გაქვს აქ გააკეთო.,You're not permitted to do that here.
გავცივდი.,I've caught a cold.
ანაკლია.,Anaklia.
ქრისტიანებს.,Christians.
ჩხოროწყუს.,Chkhorotsku.
ყაზახეთის რესპუბლიკის.,the Republic of Kazakhstan.
მეფე.,King.
"სამართალი საგანია, რომელიც არ მომწონს.",Law is a subject I don't like.
ამერიკიდან ვარ.,I come from America.
მე ჯერ კიდევ ვცხოვრობ მშობლების სახლში.,I still live at my parents' house.
თომას.,Thomas.
ის კარს აღებს.,She opens the door.
ესპანეთი.,Spanish.
დიდ ბრიტანეთში.,UK.
შვეიცარიაში.,Switzerland.
უზენაესი სასამართლოს.,Supreme Court.
ევროპაბეთი.,Europebet.
პორტუგალიის.,Portugal.
ნიკორა.,Nikora.
ახალგაზრდების ეროვნული კვლევა საქართველოში.,National Youth Survey.
ცენტრალური საპარლამენტო საარჩევნო კომისიის.,the Central Parliamentary Election Commission.
ნაცისტური.,Nazi.
კეთილი იყოს თქვენი მობრძანება!,Welcome.
საშობაო.,Christmas.
უფროსმა მომცა მე ეს ხელფასი.,The boss gave me this salary.
ჩეხეთში.,Czech Republic.
ტომმა ავსტრალიაში წავიდა?,Did Tom go to Australia?
თბილისის სახელმწიფო უნივერსიტეტის.,Tbilisi State University.
პარიზის.,Parisian.
საუდის არაბეთში.,Saudi Arabia.
კიდევ გნახავთ.,See you again.
დასავლეთ ევროპაში.,Western Europe.
გამარჯობა.,Hello!
"დიახ, მე საპოროდან ვარ.","Yes, I am from Sapporo."
წყარ ო Naturals.,Source Naturals.
თელავი.,Telavi.
რუსეთის ფედერაციის.,the Russian Federation.
ეს საქართველოს შესახებ წიგნია.,This is a book about Georgia.
ემილი ინგლისელია.,Emily is English.
Aros ენერგიის.,Aros Energy.
ორმოცდაათიანელთა.,Pentecostal.
თიბისი ბანკმა.,TBC Bank.
ძალიან ბედნიერი ვარ ჯორჯიაში.,I am very happy in Georgia.
სახლი.,House.
ჰოლივუდი.,Hollywood.
საქართველოს სახალხო დამცველმა.,the Public Defender of Georgia.
აფხაზეთისა.,Abkhazia.
Wi - Fi.,Wi - Fi.
დიდხანს გვეძინა.,We overslept.
დმანისის.,Dmanisi.
მიგრაციის კომისია.,Migration Commission.
- ფოსტა.,Hausart.
სად არის სასმელი წყალი?,Where is the water drinkable?
ეთიოპურ ი.,Ethiopian.
ამ ოთახში ბიჭია.,There is a boy in this room.
ტუნისში.,Tunis.
სულიწმინდის.,the Holy Spirit.
ეს არის წინადადება.,This is a sentence.
მერი შარპე.,Mary Sharpe.
გერმანი ა.,Germany.
ევროკომისია.,the European Commission.
მინსკში.,Minsk.
კახეთი.,Kakheti.
რაღაც თქვა.,He said something.
ქვევრის.,Qvevri.
მონტენეგროს.,Montenegro.
ისინი დებია.,They are sisters.
პორტუგალიის.,Portuguese.
ბელგია Train.,Belgium Train.
ესენი ჩემი დის წიგნები არიან.,Those are my sister's books.
საახალწლო.,New Year 's.
ნინა.,Nina.
თიბისი ბანკის.,TBC Bank.
ფილიპინების.,Philippine.
შენ არ იყავი დაღლილი.,You weren't tired.
საოლქო.,DEC.
ერთი ძმა მყავს.,I have one brother.
იაპონური.,Japanese.
მე ლამაზი ვარ?,Am I pretty?
სამხრეთ კორე ა.,South Korea.
სამხრეთ ამერიკაში.,South America.
ხალხი ხშირად დიდებას მისდევს.,People usually go after fame.
Chengdu Century ქალაქი ახალი საერთაშორისო კონვენცია და საგამოფენო ცენტრი.,Chengdu Century City New International Convention Exhibition Center.
თოვს.,It's snowing.
მგელი ღმუის.,The wolf howls.
ცათამბჯენი ქალაქის ცენტრშია.,The skyscraper is in the center of the city.
შეუძლებელია კონფლიქტის გადაჭრა.,It is impossible to resolve the conflict.
ადრე ადექი თორემ სკოლაში დაგაგვიანდება.,"Get up early, else you'll be late for school."
მესაკუთრეს ახსნა გასაგებია.,The owner's explanation is clear.
იოსიფ ბროდსკი.,Joseph Brodsky.
შოტლანდია.,Scotland.
ავსტრიაში Train.,Austria Train.
